"GenusSpecies","NestLoc","Excavate","Sociality","Lecty","MeanITD","Specimen1","Specimen2","Specimen3","Specimen4","Specimen5","Neal","InKremen","PredForDist_Typical","CILow_Typical","CIHigh_Typical","PredForDist_Feeder","CILow_Feeder","CIHigh_Feeder","PredForDist_HomingMax","CILow_HomingMax","CIHigh_HomingMax","abun.net","abun.pan","num.occ.net","num.occ.pan","degree","normalised.degree","nestedrank","species.strength","interaction.push.pull","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweeness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Agapostemon texanus","below","ex","solitary","polylectic",1.9804878046,1.902439024,2.146341463,1.902439024,2,1.951219512,"yes","yes","0.506179152","0.197043035","1.300311549","0.929074857","0.43677468","1.860136118","0.69484612","0.289509939","1.606786413",23,303,18,90,"10","0.0793650793650794","0.211864406779661","0.41413370317812","-0.058586629682188","0.981714285714286","0.928","0.397211452022909","0.0351908434297264","1.22033898305085",NA,"0",NA,"0.00180101060114489","6.73285739754657","2.03832143001129","7.67771080154271","0.56665145177333","0.506004631470043","0.177005347804375"
"Andrena angustitarsata","below","ex","solitary","polylectic",1.804878049,1.804878049,1.951219512,1.609756098,1.804878049,1.853658537,"yes","yes","0.444148627","0.181599871","1.086278321","0.846338321","0.416848107","1.718344262","0.606654106","0.265381859","1.342848348",3,0,3,0,"2","0.0158730158730159","0.694915254237288","0.166666666666667","-0.416666666666667","0.996","0.992","0.742967024840268","0.0777777777777778","1.85593220338983",NA,"0",NA,"0.000373811938392297","2.62230102153243","0.636514168294813","1.88988157484231","0.00313381385145722","0.12455390083304","0.666213036435522"
"Andrena anisochlora","below","ex","solitary","polylectic",1.93442623,1.93442623,NA,NA,NA,NA,"yes","no","0.489682598","0.193009011","1.24237229","0.907370135","0.431636023","1.907441726","0.671349517","0.283194762","1.535348156",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena astragali","below","ex","solitary","polylectic",NA,NA,NA,NA,NA,NA,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena atypica","below","ex","solitary","oligolectic",1.3770491805,1.409836066,1.344262295,NA,NA,NA,"yes","no","0.303453807","0.143163734","0.643209078","0.644932306","0.363819819","1.184495282","0.408486608","0.205944805","0.796064598",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena auricoma","below","ex","solitary","polylectic",1.6195121954,1.609756098,1.707317073,1.609756098,1.609756098,1.56097561,"yes","yes","0.381297126","0.165099603","0.880604772","0.759044941","0.394737982","1.446351175","0.517775926","0.23975233","1.089108848",6,0,5,0,"5","0.0396825396825397","0.415254237288136","0.18706052461654","-0.162587895076692","0.984","0.968","0.46475800154489","0.0549862779122805","1.33050847457627",NA,"0",NA,"0.000684785238271538","14.1163394064178","1.56071040904141","4.7622031559046","0.200668546954978","0.31385616301213","0.397612053244841"
"Andrena caerulea","below","ex","solitary","oligolectic",1.6682926828,1.756097561,1.658536585,1.56097561,1.658536585,1.707317073,"yes","yes","0.397566373","0.169462947","0.93270549","0.782012701","0.400673363","1.648877383","0.540731934","0.246513999","1.153396987",0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena candida","below","ex","solitary","polylectic",1.6487804878,1.56097561,1.463414634,1.756097561,1.804878049,1.658536585,"yes","yes","0.391035052","0.167719487","0.911691387","0.772825227","0.398309701","1.380847906","0.531511798","0.243810842","1.127468252",26,1,17,1,"10","0.0793650793650794","0.203389830508475","1.250546044838","0.0250546044837997","0.982","0.928","0.417033763337351","0.233758947880307","1.52542372881356",NA,"0.007070340826686",NA,"0.00190199703974165","5.94925113082374","1.97138443275028","7.18061068274411","0.0581322469445315","0.473242917865793","0.64104990141616"
"Andrena cerasifolii","below","ex","solitary","polylectic",2.5637397708,2.585365854,2.682926829,2.829268293,2.487804878,2.233333,"yes","yes","0.728017142","0.247229272","2.143795326","1.204091601","0.497318816","2.952423404","1.013358117","0.368744961","2.646105762",15,2,10,2,"3","0.0238095238095238","0.542372881355932","0.0896078470928271","-0.303464050969058","0.990857142857143","0.984","0.603191511876618","0.0252957606478968","1.41525423728814",NA,"0",NA,"0.00137984242801975","1.12764986670505","1.04375703633141","2.8398664781484","0.292463177687245","0.187163287058282","0.308441455054976"
"Andrena cercocarpi","below","ex","solitary","polylectic",1.65853658533333,1.609756098,1.658536585,1.707317073,NA,NA,"yes","no","0.394296794","0.168591528","0.922169484","0.777418903","0.39949326","1.446351175","0.536115604","0.24516267","1.140397059",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena chalybioides","below","ex","solitary","oligolectic",1.7463414636,1.756097561,1.804878049,1.853658537,1.707317073,1.609756098,"yes","no","0.424001941","0.176412448","1.019075739","0.8187674","0.409993314","1.648877383","0.578108779","0.257307024","1.259953464",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena chlorogaster","below","ex","solitary","polylectic",1.2390243904,1.12195122,1.268292683,1.317073171,1.219512195,1.268292683,"yes","yes","0.261522461","0.13047073","0.524209511","0.580012111","0.34499908","0.839717079","0.350045124","0.186535507","0.649083025",9,3,8,2,"5","0.0396825396825397","0.406779661016949","0.350528603355198","-0.12989427932896","0.9936","0.968","0.594044517598546","0.0395966360945028","1.35593220338983",NA,"0",NA,"0.000950833514655684","4.63217515957032","1.30309240376172","3.68066117720662","0.282983390786587","0.242576420326266","0.282091339739138"
"Andrena chlorura",NA,NA,NA,"polylectic",1.84,1.84,NA,NA,NA,NA,"no","yes","0.456365791","0.184702524","1.127595501","0.862882823","0.420908015","1.768953644","0.623988583","0.270218838","1.393807641",0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena cressonii infasciata","below","ex","solitary","polylectic",2.1463414634,1.951219512,2.195121951,2.292682927,2.097560976,2.195121951,"yes","yes","0.56686594","0.211476458","1.519492985","1.007245482","0.454802158","1.932436534","0.781529965","0.312174187","1.876971791",4,0,4,0,"4","0.0317460317460317","0.525423728813559","0.158628245305613","-0.210342938673597","0.976","0.976","0.493963561409139","0.0396570613264032","1.76271186440678",NA,"0",NA,"0.000482744968291782","35168.6827595786","1.38629436111989","4","0.0133187088686932","0.263622657612147","0.534426066443876"
"Andrena cuneilabris","below","ex","solitary","oligolectic",1.7836065572,1.803278689,2.06557377,0.983606557,2,2.06557377,"yes","no","0.436796247","0.179717213","1.061617628","0.836318905","0.414370123","1.716051418","0.596230845","0.262449492","1.312430574",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena hypoleuca","below","ex","solitary",NA,1.75755480825,1.704918033,1.8072289,1.7831325,1.7349398,NA,"yes","no","0.427840242","0.177407766","1.031788384","0.824048602","0.41131517","1.577036973","0.583543243","0.258855149","1.275635522",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena knuthiana",NA,NA,NA,"polylectic",1.36487636,1.686747,1.766667,1.0967742,1.0967742,1.1774194,"no","yes","0.299683763","0.142050715","0.632241505","0.63920557","0.362198837","1.551790172","0.40321881","0.204238136","0.78252081",11,0,7,0,"7","0.0555555555555556","0.322033898305085","0.620217368857222","-0.0542546615918254","0.978666666666667","0.952","0.408585546440804","0.113132708463604","1.38135593220339",NA,"0",NA,"0.00103055994906949","8.28558385275688","1.84622021932163","6.33582617301755","0.120758667844221","0.417566833474871","0.534873412938333"
"Andrena lewisorum","below","ex","solitary","oligolectic",NA,NA,NA,NA,NA,NA,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena microchlora","below","ex","solitary","polylectic",1.2286585366,1.268292683,1.28125,1.1875,1.15625,1.25,"yes","yes","0.258447153","0.129510769","0.515748087","0.575137792","0.343544486","1.010014998","0.345772383","0.185072532","0.63862928",0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena misella","below","ex","solitary","polylectic",1.926829268,1.902439024,1.951219512,NA,NA,NA,"yes","no","0.486977074","0.192342567","1.232939093","0.903790586","0.430782682","1.860136118","0.667498809","0.282152295","1.523716465",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena miserabilis","below","ex","solitary","polylectic",1.49032256,1.4516129,1.3709677,1.3709677,1.6129032,1.6451613,"yes","no","0.339179658","0.153465311","0.749634166","0.69823279","0.378574862","1.237754239","0.458525858","0.221781822","0.927462633",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena nigrocaerulea","below","ex","solitary","polylectic",1.912195122,2.048780488,1.707317073,1.951219512,2,1.853658537,"yes","yes","0.481777645","0.191057889","1.214865825","0.896895424","0.42913415","2.079788382","0.660100888","0.280143446","1.501430494",1,3,1,3,"1","0.00793650793650794","0.830508474576271","0.000292056074766355","-0.999707943925234","1","1","1","0.000292056074766355","1.50847457627119",NA,"0",NA,"0.000131799957128366","8196.04299273653","0","1","0.268254465684738","0.0659056644030367","0"
"Andrena orthocarpi","below","ex","solitary","polylectic",1.4829268294,1.512195122,1.658536585,1.56097561,1.365853659,1.317073171,"yes","yes","0.336812171","0.152795679","0.742445333","0.694752174","0.377628881","1.316372653","0.45520336","0.220750177","0.918588309",0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena pallidifovea","below","ex","solitary","oligolectic",2.0097560978,1.804878049,2.048780488,2.048780488,2.097560976,2.048780488,"yes","no","0.516743198","0.199600412","1.337790488","0.94286759","0.440009045","1.718344262","0.709908304","0.293517904","1.652993572",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena pensilis","below","ex","solitary","oligolectic",1.639344262,1.639344262,NA,NA,NA,NA,"yes","no","0.387887734","0.166875444","0.901611948","0.768382281","0.397161631","1.486576956","0.527070889","0.242502858","1.11503103",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena piperi","below","ex","solitary","polylectic",1.3756097564,1.365853659,1.317073171,1.365853659,1.365853659,1.463414634,"yes","yes","0.303007292","0.143032183","0.641907416","0.644255113","0.363628512","1.129281583","0.407862571","0.205743042","0.794457212",7,3,5,1,"4","0.0317460317460317","0.483050847457627","1.24402536715621","0.0610063417890521","0.994","0.976","0.618754509363078","0.178218577150486","1.49152542372881",NA,"0",NA,"0.000684806135850041","3.87836465825847","1.15374194270109","3.17003282492367","0.269664681917894","0.20892311950603","0.36599920636601"
"Andrena plana","below","ex","solitary","oligolectic",NA,NA,NA,NA,NA,NA,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena prunorum","below","ex","solitary","polylectic",NA,NA,NA,NA,NA,NA,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena scurra",NA,NA,NA,"polylectic",1.96104424,2,2.166667,1.9759036,1.7590361,1.9036145,"no","yes","0.499196298","0.195341588","1.275698364","0.919912553","0.434612869","2.005657676","0.684896572","0.286845307","1.576439607",5,0,4,0,"1","0.00793650793650794","0.779661016949153","0.00146028037383178","-0.998539719626168","1","1","1","0.00146028037383178","1.50847457627119",NA,"0",NA,"0.000587062154482295","0.375882658502231","0","1","0.268254465684738","0.0659056644030367","0.106918874778215"
"Andrena semipunctata","below","ex","solitary","oligolectic",1.950819672,1.868852459,2.032786885,NA,NA,NA,"yes","no","0.495535602","0.194446049","1.262846606","0.915094641","0.433471787","1.810896736","0.679682737","0.285443422","1.560593523",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena sola","below","ex","solitary","polylectic",NA,NA,NA,NA,NA,NA,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena sp. 1","below","ex","solitary",NA,1.442622951,1.442622951,NA,NA,NA,NA,"yes","no","0.323995225","0.149139278","0.703858212","0.67578555","0.372431923","1.226227079","0.437231905","0.215122386","0.870950727",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena sp. 4M","below","ex","solitary",NA,NA,NA,NA,NA,NA,NA,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena suavis","below","ex","solitary","oligolectic",1.508196721,1.508196721,NA,NA,NA,NA,"yes","no","0.344921236","0.155082038","0.767146605","0.706645139","0.380851538","1.311133876","0.466587179","0.2242738","0.949080237",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena subaustralis","below","ex","solitary","oligolectic",2.1099446652,2.163934426,2.1204819,1.959184,2.102041,2.204082,"yes","no","0.553378422","0.208320949","1.469980232","0.990088422","0.450907029","2.258332085","0.762232545","0.307210211","1.815945453",1,0,1,0,"1","0.00793650793650794","0.838983050847458","0.0204081632653061","-0.979591836734694","1","1","1","0.0204081632653061","1.8728813559322",NA,"0",NA,"0.000131932276537569","8196.04299273653","0","1","0.0038389219680351","0.0659056644030367","0.521805081884733"
"Andrena subchalybea","below","ex","solitary","oligolectic",1.5609756098,1.609756098,1.707317073,1.609756098,1.463414634,1.414634146,"yes","yes","0.362036665","0.15984251","0.81999805","0.731487768","0.387496952","1.446351175","0.490647825","0.23162139","1.014314203",3,12,2,9,"2","0.0158730158730159","0.703389830508475","0.102949852507375","-0.448525073746313","0.996","0.992","0.742967024840268","0.0352999016715831","1.74576271186441",NA,"0",NA,"0.000372314673605767","2.62230102153243","0.636514168294813","1.88988157484231","0.0539015982450642","0.12455390083304","0.396547681522391"
"Andrena subtilis","below","ex","solitary","polylectic",2.2048780488,2.048780488,2.390243902,2.195121951,2.097560976,2.292682927,"yes","no","0.588753781","0.216537914","1.600786705","1.034841753","0.46099842","2.079788382","0.812883461","0.320146655","1.977159766",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena w-scripta","below","ex","solitary","polylectic",1.7365853658,1.707317073,1.853658537,1.951219512,1.707317073,1.463414634,"yes","yes","0.420670621","0.17554585","1.008077217","0.81417265","0.408839805","1.580380416","0.573393648","0.25595958","1.246385558",1,0,1,0,"1","0.00793650793650794","0.847457627118644","0.1","-0.9","1","1","1","0.1","1.95762711864407",NA,"0",NA,"0.000132126891494485","8196.04299273653","0","1","0.000783453462864306","0.0659056644030367","0.717077252890564"
"Anthidiellum ehrhorni","above","rent","solitary","polylectic",2.3902439025,2.43902439,2.341463415,NA,NA,NA,"yes","no","0.659620687","0.232460968","1.87170971","1.122251407","0.480098537","2.70436081","0.914696017","0.3453069","2.310971212",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthidiellum notatum robertsoni","above","rent","solitary","polylectic",2.1837397708,2.243902439,2.195121951,2.097560976,2.048780488,2.333333,"yes","yes","0.580822117","0.214712058","1.571194159","1.024876015","0.458770416","2.385197118","0.801516416","0.317269251","1.940690684",42,0,12,0,"7","0.0555555555555556","0.279661016949153","0.335070959280462","-0.094989862959934","0.996413793103448","0.952","0.70427267446636","0.0396882579553873","1.39830508474576",NA,"0",NA,"0.00243535011101064","2.39865517342383","1.10955295497617","3.03300220277687","0.131142648221934","0.199892025309883","0.364367847204785"
"Anthidium manicatum","above","rent",NA,"polylectic",NA,NA,NA,NA,NA,NA,"no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"1","0.00793650793650794","0.855932203389831","0.0062111801242236","-0.993788819875776","1","1","1","0.0062111801242236","1.72881355932203",NA,"0",NA,"0.000131966332031794","8196.04299273653","0","1","0.0126136007521153","0.0659056644030367","0.375638760760882"
"Anthidium mormonum","above","rent","solitary","polylectic",2.292682927,2.292682927,NA,NA,NA,NA,"yes","no","0.622031365","0.224099809","1.726565588","1.076242346","0.47014146","2.463721425","0.86063731","0.332080571","2.132149842",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthidium utahense","above","rent","solitary","polylectic",2.0980182928,2,2.048780488,2.097560976,2.25,2.09375,"yes","no","0.548979409","0.207285536","1.453928708","0.984466748","0.449623432","2.005657676","0.755942476","0.305582467","1.796160361",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthophora bomboides stanfordiana","below","ex","solitary","polylectic",4.312,4.52,4.56,4.44,3.92,4.12,"yes","no","1.513808278","0.39046763","5.86890007","2.029951607","0.645944298","6.848434541","2.166967403","0.600277487","7.227696969",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthophora californica","below","ex","solitary","polylectic",3.58,3.6,3.5,3.5,3.6,3.7,"yes","no","1.164962354","0.331561902","4.093164138","1.683931841","0.58824988","4.861062681","1.650982009","0.504231179","5.044908256",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthophora curta","below","ex","solitary","polylectic",2.682926829,2.682926829,NA,NA,NA,NA,"yes","yes","0.776118411","0.25730433","2.341040233","1.260328272","0.508814903","3.121817664","1.082959224","0.38478823","2.888996721",0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthophora edwardsii","below","ex","solitary","polylectic",4.08,4,3.6,4.1,4.3,4.4,"yes","no","1.400403275","0.37193959","5.272709291","1.920253017","0.628225858","5.697024665","1.998670299","0.569956425","6.495032966",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthophora pacifica","below","ex","solitary","polylectic",4.4678281278,4.243902439,4.2857143,4.7619048,4.2857143,4.7619048,"yes","no","1.591397748","0.402844451","6.286661725","2.103648267","0.65758036","6.228218756","2.28239351","0.62058553","7.740987302",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthophora urbana","below","ex","solitary","polylectic",2.975609756,2.975609756,3.024390244,2.87804878,3.024390244,2.975609756,"yes","yes","0.897926832","0.281821263","2.860935999","1.39847342","0.536011843","3.648665476","1.259930711","0.423999481","3.528994845",67,24,34,15,"17","0.134920634920635","0.101694915254237","3.80600156760622","0.165058915741542","0.978222222222222","0.872","0.366863121325068","0.25345218380134","1.32203389830508",NA,"0",NA,"0.00257770341780736","7.34397220965986","2.32127342640454","10.188640532434","0.170873538917758","0.671489123653775","0.538742175267003"
"Anthophorula chionura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashmeadiella aridula astragali","above","rent","solitary","polylectic",1.3142405278,1.245901639,1.253012,1.301205,1.373494,1.39759,"yes","yes","0.284149117","0.137407805","0.587599231","0.615386312","0.355377556","0.983279043","0.381539675","0.197128464","0.727386801",45,98,27,40,"12","0.0952380952380952","0.144067796610169","0.313016105442874","-0.0572486578797605","0.980307692307692","0.912","0.427374413002099","0.0326585692243253","1.19491525423729",NA,"0",NA,"0.00248311629120226","5.35430856634122","1.93572019343394","6.92903250255113","0.36230370138236","0.456662490750868","0.245472388114743"
"Ashmeadiella bucconis denticulata","above","rent","solitary","oligolectic",1.5228916,1.445783,1.518072,1.493976,1.46988,1.686747,"yes","yes","0.349662411","0.156409461","0.781690576","0.71356152","0.382713233","1.230274849","0.473247782","0.22632114","0.96703268",28,3,11,3,"8","0.0634920634920635","0.245762711864407","0.902097569543506","-0.0122378038070618","0.989333333333333","0.944","0.499142121186799","0.100415527991454","1.56779661016949",NA,"0",NA,"0.00200756867224234","3.74162266193746","1.66656657442276","5.29396013960096","0.128329677217173","0.348901960323594","0.481228434899834"
"Ashmeadiella cactorum basalis","above","rent","solitary","polylectic",1.2081632,1.285714,1.22449,1.22449,1.142857,1.163265,"yes","yes","0.252397818","0.127609842","0.499214303","0.56550085","0.340650399","1.030982968","0.337373309","0.182177654","0.61820135",3,0,2,0,"1","0.00793650793650794","0.864406779661017","0.25","-0.75","1","1","1","0.25","1.98305084745763",NA,"0",NA,"0.000132840140841895","8196.04299273653","0","1","0.000313381385145722","0.0659056644030367","0.82966353332881"
"Ashmeadiella timberlakei solida",NA,"rent","solitary","polylectic",NA,NA,NA,NA,NA,NA,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bombus californicus","mix","rent","social","polylectic",3.3219510196,3.609756098,3.333333,3.333333,3.285714,3.047619,"yes","yes","1.048496082","0.31046003","3.541016321","1.562024176","0.566529205","4.880917498","1.479951911","0.470088915","4.365793021",84,13,32,9,"19","0.150793650793651","0.0847457627118644","3.63597302269596","0.138735422247156","0.98112","0.856","0.348055824750653","0.303687744085204","1.20338983050847",NA,"0.00658689871887841",NA,"0.0026085626580268","7.65189477099862","2.49058872571069","12.0683789944177","0.181126979152676","0.795374535894747","0.551868015594433"
"Bombus crotchii","below","rent","social","polylectic",5.3,5.3,5.4,5.2,4.9,5.7,"yes","yes","2.024053875","0.4681036","8.751896138","2.497399739","0.716563405","8.704052448","2.929736763","0.728321525","10.768526",17,0,4,0,"4","0.0317460317460317","0.432203389830508","0.186166656931275","-0.203458335767181","0.998285714285714","0.976","0.828305478309738","0.132608733830182","1.61864406779661",NA,"0",NA,"0.00151084393850403","1.64909623646013","0.659872013784827","1.93454472349973","0.045675336884989","0.127497455319639","0.621543921552505"
"Bombus melanopygus","mix","rent","social","polylectic",3.86,3.4,4.3,4.2,3.8,3.6,"yes","yes","1.295265951","0.354251808","4.735935976","1.81625454","0.610955043","4.460089728","1.843107245","0.541103559","5.83522897",27,0,14,0,"10","0.0793650793650794","0.194915254237288","0.893574378847581","-0.0106425621152419","0.99","0.928","0.483709942674301","0.0720132255117236","1.25423728813559",NA,"0",NA,"0.00184855841050145","5.74639966613369","1.84460937520046","6.32562836042233","0.162290933992595","0.416894739860325","0.422128853828335"
"Bombus vandykei",NA,"rent","social","polylectic",3.6285714,3,3.761905,3.428571,4.047619,3.904762,"no","yes","1.187277716","0.335512858","4.201413862","1.706882508","0.592250205","3.693802855","1.683828847","0.510640011","5.178025188",2,1,2,1,"2","0.0158730158730159","0.720338983050847","0.0295566502463054","-0.485221674876847","0.992","0.992","0.70427267446636","0.0147783251231527","1.56779661016949",NA,"0",NA,"0.000252605619401284","17872.483199054","0.693147180559945","2","0.0822626136007521","0.131811328806073","0.353287921222858"
"Bombus vosnesenskii","below","rent","social","polylectic",3.551219512,2.926829268,3.268292683,3.902439024,4,3.658536585,"yes","yes","1.151797671","0.329217747","4.029666956","1.670333321","0.585866791","3.558952094","1.63161566","0.500431118","4.966820794",162,2,34,2,"23","0.182539682539683","0.0593220338983051","4.77611977157064","0.164179120503071","0.972972972972973","0.824","0.331070508737686","0.137836096236516","1.21186440677966",NA,"0.0481024897268552",NA,"0.00352888893682343","7.32299485193655","2.5218974497232","12.4522016884685","0.256321792386767","0.820670625559131","0.424646246243118"
