"NetPan","Site","SampleRound","Date","StartTime","EndTime","TempStart","TempEnd","WindStart","WindEnd","SkyStart","SkyEnd","Collector","NetNumber","Year"
"pan","N132",3,"7/4/14","8:35","1:05",20.3,26.3,0.6,2.1,"clear","clear","KK",NA,2014
"net","N132",3,"7/4/14","9:00","9:30",21.5,23.8,0.8,0.6,"clear","clear","KK",1,2014
"net","N132",3,"7/4/14","9:36","10:12",23.4,23.7,0.4,1.6,"clear","clear","KK",2,2014
"net","N132",3,"7/4/14","10:24","11:00",23.7,24.9,1.6,2.4,"clear","clear","KK",3,2014
"pan","N132",4,"7/14/14","8:25","12:55",22.7,31.9,0,0.8,"clear","partly cloudy","LCP",NA,2014
"net","N132",4,"7/14/14","8:45","9:20",22.7,27.5,0,0.5,"clear","clear","LCP",1,2014
"net","N132",4,"7/14/14","9:00","9:55",27.5,27,0.5,1.2,"clear","partly cloudy","LCP",2,2014
"net","N132",4,"7/14/14","9:55","10:35",27,28,1.2,1.6,"partly cloudy","partly cloudy","LCP",3,2014
"pan","N133",1,"6/18/14","8:35","1:05",14.7,19,0,1.2,"clear","clear","LCP/KAK",NA,2014
"net","N133",1,"6/18/14","8:55","9:45",14.7,17.4,0,0.5,"clear","clear","LCP/KAK",1,2014
"net","N133",1,"6/18/14","8:55","9:40",14.7,17.4,0,0.5,"clear","clear","LCP/KAK",2,2014
"net","N133",1,"6/18/14","9:55","10:20",18.9,17,0.5,1.1,"clear","clear","LCP/KAK",3,2014
"pan","N133",2,"7/7/14","8:45","1:15",19.2,23.7,0,0.7,"partly cloudy","bright overcast","KK",NA,2014
"net","N133",2,"7/7/14","9:00","9:40",19.8,24.1,0.5,0,"partly cloudy","partly cloudy","KK",1,2014
"net","N133",2,"7/7/14","9:42","10:20",22.7,26.1,0,0,"partly cloudy","partly cloudy","KK",2,2014
"net","N133",2,"7/7/14","10:22","11:15",25.4,25.2,0,0.6,"partly cloudy","bright overcast","KK",3,2014
"pan","N133",3,"7/10/14","8:35","1:05",20.6,25,0.6,0.8,"clear","clear","LCP",NA,2014
"net","N133",3,"7/10/14","8:45","9:30",20.6,22.7,0.6,0,"clear","clear","LCP",1,2014
"net","N133",3,"7/10/14","9:30","10:15",22.7,28.5,0,0,"clear","clear","LCP",2,2014
"net","N133",3,"7/10/14","10:30","11:25",25.5,23,0,1.8,"clear","clear","LCP",3,2014
"pan","N133",4,"7/18/14","8:35","1:05",21.7,31.7,0.9,0.8,"clear","clear","LTC",NA,2014
"net","N133",4,"7/18/14","9:02","9:50",22,25,0.7,0.7,"clear","clear","LTC",1,2014
"net","N133",4,"7/18/14","10:00","10:38",25,24.6,0.7,0.3,"clear","clear","LTC",2,2014
"net","N133",4,"7/18/14","10:45","11:38",24.7,26.1,0.3,0.4,"clear","clear","LTC",3,2014
"pan","N134",1,"6/17/14","9:00","1:30",13.7,19.2,0.6,1.2,"clear","partly cloudy","JPS",NA,2014
"net","N134",1,"6/17/14","9:15","10:00",13.7,17,0.6,1.3,"clear","clear","JPS",1,2014
"net","N134",1,"6/17/14","10:12","10:47",17,16.2,0.5,1.3,"partly cloudy","partly cloudy","JPS",2,2014
"net","N134",1,"6/17/14","10:55","11:32",16.3,19.7,1.3,1.2,"partly cloudy","partly cloudy","JPS",3,2014
"pan","N134",2,"7/6/14","8:55","1:25",20.1,23.9,0,0,"partly cloudy","bright overcast","LCP",NA,2014
"net","N134",2,"7/6/14","9:10","10:10",20.1,23.9,0,0,"partly cloudy","partly cloudy","LCP",1,2014
"net","N134",2,"7/6/14","10:10","11:05",23.9,28,0,0,"partly cloudy","partly cloudy","LCP",2,2014
"net","N134",2,"7/6/14","11:05","11:55",25,24.4,0,0,"partly cloudy","partly cloudy","LCP",3,2014
"pan","N134",3,"7/9/14","9:00","1:30",21.3,26.1,0.4,0.8,"clear","clear","KK",NA,2014
"net","N134",3,"7/9/14","9:10","10:10",21.5,25.4,0,0.4,"clear","clear","KK",1,2014
"net","N134",3,"7/9/14","10:20","11:12",25.3,25.2,0.8,0.4,"clear","clear","KK",2,2014
"net","N134",3,"7/9/14","11:17","12:12",26.1,26.4,0,1.5,"clear","clear","KK",3,2014
"pan","N134",4,"7/17/14","8:30","1:00",22.1,28,0,0.3,"clear","clear","LCP",NA,2014
"net","N134",4,"7/17/14","8:45","9:45",22.1,23,0,0.6,"clear","clear","LCP",1,2014
"net","N134",4,"7/17/14","9:45","11:00",23,24.6,0.6,0,"clear","clear","LCP",2,2014
"net","N134",4,"7/17/14","11:00","11:45",24.6,23.8,0,0.6,"clear","clear","LCP",3,2014
"pan","N135",1,"6/18/14","8:30","1:00",17.3,21,1.3,1.1,"clear","partly cloudy","LTC",NA,2014
"net","N135",1,"6/18/14","9:04","10:01",18.1,18.8,1.6,0.6,"clear","clear","LTC",1,2014
"net","N135",1,"6/18/14","10:32","11:23",18.9,18.6,0.7,1,"clear","clear","LTC",2,2014
"net","N135",1,"6/18/14","11:25","12:23",19,20.8,0.8,1,"clear","clear","LTC",3,2014
"pan","N135",2,"7/6/14","8:45","1:18",20.2,28.2,0.5,0.6,"partly cloudy","partly cloudy","KK",NA,2014
"net","N135",2,"7/6/14","9:02","9:47",22.2,24.3,0.6,0.9,"partly cloudy","partly cloudy","KK",1,2014
"net","N135",2,"7/6/14","10:00","10:40",23.5,27,1.9,0.6,"partly cloudy","partly cloudy","KK",2,2014
"net","N135",2,"7/6/14","10:50","11:27",25.6,24.5,0.8,2.6,"partly cloudy","partly cloudy","KK",3,2014
"pan","N135",3,"7/9/14","8:40","1:10",21.4,28,0.7,0.8,"clear","clear","LCP",NA,2014
"net","N135",3,"7/9/14","9:00","9:45",21.4,22.6,0.7,1.5,"clear","clear","LCP",1,2014
"net","N135",3,"7/9/14","9:45","10:30",22.6,24,1.5,1.1,"clear","clear","LCP",2,2014
"net","N135",3,"7/9/14","10:30","11:25",24,25.6,1.1,1,"clear","clear","LCP",3,2014
"pan","N135",4,"7/19/14","8:15","12:45",20.1,27.5,0,2.4,"clear","partly cloudy","LCP",NA,2014
"net","N135",4,"7/19/14","8:30","9:10",20.1,22.1,0,1.1,"clear","clear","LCP",1,2014
"net","N135",4,"7/19/14","9:10","10:05",22.1,25,1.1,1.6,"clear","clear","LCP",2,2014
"net","N135",4,"7/19/14","10:15","11:00",25,26.5,1.6,1.3,"clear","clear","LCP",3,2014
"pan","N136",1,"6/17/14","9:20","1:50",13.8,19.5,0.5,1.1,"clear","partly cloudy","LTC",NA,2014
"net","N136",1,"6/17/14","9:42","10:33",14.4,16.6,0.6,0.8,"clear","clear","LTC",1,2014
"net","N136",1,"6/17/14","10:40","11:56",17,19.1,0.8,0.5,"clear","partly cloudy","LTC",2,2014
"net","N136",1,"6/17/14","12:02","1:02",19.2,19.1,0.6,1,"partly cloudy","partly cloudy","LTC",3,2014
"pan","N136",2,"7/7/14","8:45","1:15",18.6,22,0,0,"bright overcast","bright overcast","LCP",NA,2014
"net","N136",2,"7/7/14","9:00","10:00",18.6,23.7,0,0,"bright overcast","bright overcast","LCP",1,2014
"net","N136",2,"7/7/14","10:00","11:15",23.7,20.7,0,0,"bright overcast","bright overcast","LCP",2,2014
"net","N136",2,"7/7/14","11:15","11:15",20.7,20.7,0,0,"bright overcast","bright overcast","LCP",3,2014
"pan","N136",3,"7/10/14","8:30","1:00",20.8,26.6,0,0.5,"clear","clear","KK",NA,2014
"net","N136",3,"7/10/14","9:00","9:50",21,22,0.3,0.7,"clear","clear","KK",1,2014
"net","N136",3,"7/10/14","9:56","10:40",22.7,24.1,0.6,0.7,"clear","clear","KK",2,2014
"net","N136",3,"7/10/14","10:45","11:21",24.3,25.9,0.9,1,"clear","clear","KK",3,2014
"pan","N136",4,"7/17/14","8:28","12:58",18.7,32.2,0.9,0.4,"clear","clear","LTC",NA,2014
"net","N136",4,"7/17/14","9:10","10:07",19,21.5,0,0.6,"clear","clear","LTC",1,2014
"net","N136",4,"7/17/14","10:20","11:14",21.5,29.8,0.6,0.9,"clear","clear","LTC",2,2014
"net","N136",4,"7/17/14","11:24","12:07",29.8,32.2,0.9,0.4,"clear","clear","LTC",3,2014
"pan","N137",1,"6/19/14","8:45","1:15",16.8,21.6,0,2.1,"clear","clear","LCP/KAK",NA,2014
"net","N137",1,"6/19/14","9:20","10:15",17.6,19.1,0.4,1.1,"clear","clear","LCP/KAK",1,2014
"net","N137",1,"6/19/14","9:20","10:15",17.6,19.1,0.4,1.1,"clear","clear","LCP/KAK",2,2014
"net","N137",1,"6/19/14","10:05","10:30",19.1,20,1.1,1.9,"clear","clear","LCP/KAK",3,2014
"pan","N137",2,"7/7/14","9:12","1:42",22.5,21.9,0,1.2,"partly cloudy","bright overcast","LTC",NA,2014
"net","N137",2,"7/7/14","9:30","10:16",22.6,23.9,0.3,0.3,"partly cloudy","bright overcast","LTC",1,2014
"net","N137",2,"7/7/14","10:24","11:03",24.6,22.3,0.3,0.6,"bright overcast","bright overcast","LTC",2,2014
"net","N137",2,"7/7/14","11:09","11:59",22.1,19.5,0.9,0.5,"bright overcast","bright overcast","LTC",3,2014
"pan","N137",3,"7/10/14","8:45","1:15",19.5,25.1,0.7,2.1,"clear","clear","LTC",NA,2014
"net","N137",3,"7/10/14","9:09","10:03",19.7,22.9,1.2,0.9,"clear","clear","LTC",1,2014
"net","N137",3,"7/10/14","10:19","10:58",23,23.3,0.8,1.9,"clear","clear","LTC",2,2014
"net","N137",3,"7/10/14","11:14","11:53",23.8,26,1.6,0.5,"clear","clear","LTC",3,2014
"pan","N137",4,"7/19/14","8:40","1:10",20.8,26.8,0.6,1.5,"clear","clear","LTC",NA,2014
"net","N137",4,"7/19/14","9:08","9:53",21.4,23.5,0.6,0.3,"clear","clear","LTC",1,2014
"net","N137",4,"7/19/14","10:02","10:47",23.5,28.1,0.3,0.4,"clear","clear","LTC",2,2014
"net","N137",4,"7/19/14","10:55","11:39",28.1,32.6,0.4,1.3,"clear","clear","LTC",3,2014
"pan","N139",1,"6/18/14","8:35","1:05",15.4,23,0,1.8,"clear","clear","JPS",NA,2014
"net","N139",1,"6/18/14","8:50","9:23",15.4,15.5,0,1.1,"clear","clear","JPS",1,2014
"net","N139",1,"6/18/14","9:30","10:01",15.5,16.8,1.1,1,"clear","clear","JPS",2,2014
"net","N139",1,"6/18/14","10:07","10:38",16.9,21.6,1.1,0.6,"clear","clear","JPS",3,2014
"pan","N139",2,"7/6/14","9:10","1:35",22.6,25.5,0.5,1.6,"partly cloudy","partly cloudy","LTC",NA,2014
"net","N139",2,"7/6/14","9:40","10:35",24.4,26.5,0.6,0.3,"clear","partly cloudy","LTC",1,2014
"net","N139",2,"7/6/14","10:42","11:53",26.5,25.4,0,0.4,"clear","partly cloudy","LTC",2,2014
"net","N139",2,"7/6/14","12:10","12:49",25.6,25.3,0.6,1.6,"clear","partly cloudy","LTC",3,2014
"pan","N139",3,"7/9/14","9:08","1:38",22.6,20.2,0.7,0.7,"clear","clear","LTC",NA,2014
"net","N139",3,"7/9/14","9:33","10:23",23,23.8,1,1.1,"clear","clear","LTC",1,2014
"net","N139",3,"7/9/14","10:34","11:18",24,25.5,1.4,1.7,"clear","clear","LTC",2,2014
"net","N139",3,"7/9/14","11:28","12:03",25.8,25.8,1.9,2.2,"clear","clear","LTC",3,2014
"pan","N139",4,"7/18/14","8:40","1:10",21.4,26,0,1,"clear","clear","LCP",NA,2014
"net","N139",4,"7/18/14","9:00","9:40",21.4,21.5,0.6,0.7,"clear","clear","LCP",1,2014
"net","N139",4,"7/18/14","9:40","10:25",21.5,22.1,0.7,1.2,"clear","clear","LCP",2,2014
"net","N139",4,"7/18/14","10:30","11:20",22.1,24.1,1.2,0.8,"clear","clear","LCP",3,2014
"pan","P24",1,"6/12/14","8:55","1:40",18.4,22.1,0.8,0.5,"clear","clear","JPS",NA,2014
"net","P24",1,"6/12/14","9:10","9:40",20.2,21.5,0,0,"clear","clear","JPS",1,2014
"net","P24",1,"6/12/14","10:10","10:40",23.6,20.1,0.7,0.9,"clear","clear","JPS",2,2014
"net","P24",1,"6/12/14","10:46","11:16",20.1,22.5,0.9,0.7,"clear","clear","JPS",3,2014
"pan","P24",2,"6/23/14","9:30","2:00",18.8,22.3,0.3,1.7,"clear","clear","KK",NA,2014
"net","P24",2,"6/23/14","9:45","10:17",19.1,21.4,0.4,0.3,"clear","clear","KK",1,2014
"net","P24",2,"6/23/14","10:32","11:10",21.3,21.6,0.6,1.2,"clear","clear","KK",2,2014
"net","P24",2,"6/23/14","11:12","11:47",21.6,23,1.2,0.7,"clear","clear","KK",3,2014
"pan","P24",3,"7/2/14","8:45","1:15",18.6,NA,0.5,NA,"clear","clear","KK",NA,2014
"net","P24",3,"7/2/14","8:56","9:30",19.9,21.1,0,0,"clear","clear","KK",1,2014
"net","P24",3,"7/2/14","9:36","10:11",21.6,22.6,0,0.6,"clear","clear","KK",2,2014
"net","P24",3,"7/2/14","10:20","10:54",22.6,24.6,0.6,0,"clear","clear","KK",3,2014
"pan","P24",4,"7/13/14","9:19","1:50",24.8,32.2,0,0.8,"clear","clear","MRM",NA,2014
"net","P24",4,"7/13/14","9:32","10:30",25.3,29.9,0.5,0.5,"clear","clear","MRM",1,2014
"net","P24",4,"7/13/14","10:52","11:50",27.3,28.4,0.7,0.7,"clear","clear","MRM",2,2014
"net","P24",4,"7/13/14","12:20","1:05",31,29,0,1.1,"clear","partly cloudy","MRM",3,2014
"pan","P310",1,"6/12/14","8:35","1:05",18.3,20,1.6,1.1,"clear","clear","LCP",NA,2014
"net","P310",1,"6/12/14","8:45","9:35",18.3,19.5,1.6,1.2,"clear","clear","LCP",1,2014
"net","P310",1,"6/12/14","9:35","10:20",19.5,20.7,1.2,0.8,"clear","clear","LCP",2,2014
"net","P310",1,"6/12/14","10:20","11:05",20.7,20,0.8,1.1,"clear","clear","LCP",3,2014
"pan","P310",2,"6/24/14","9:20","1:40",18.2,20.3,0.5,1,"clear","clear","LCP",NA,2014
"net","P310",2,"6/24/14","9:35","10:15",18.2,23,0.5,0.8,"clear","clear","LCP",1,2014
"net","P310",2,"6/24/14","10:25","11:05",23,22,0.8,1.7,"clear","clear","LCP",2,2014
"net","P310",2,"6/24/14","11:05","11:50",22,22.3,1.7,1.7,"clear","clear","LCP",3,2014
"pan","P310",3,"7/1/14","8:20","12:50",20.8,27,0.3,1.1,"clear","clear","KAK",NA,2014
"net","P310",3,"7/1/14","9:00","9:37",21.6,23.3,0.7,1,"clear","clear","KAK",1,2014
"net","P310",3,"7/1/14","9:40","10:14",24.6,25.5,0.7,0.9,"clear","clear","KAK",2,2014
"net","P310",3,"7/1/14","10:20","10:55",25.3,24.3,1.1,1,"clear","clear","KAK",3,2014
"pan","P310",4,"7/13/14","8:57","1:46",24.8,30.1,0.3,1.1,"partly cloudy","partly cloudy","CV",NA,2014
"net","P310",4,"7/13/14","9:35","11:10",25.7,31.5,0.5,0.5,"partly cloudy","partly cloudy","CV",1,2014
"net","P310",4,"7/13/14","11:31","12:32",31.5,30.4,1.4,1.1,"partly cloudy","partly cloudy","CV",2,2014
"net","P310",4,"7/13/14","12:46","1:43",30.3,31.5,0.6,0.6,"partly cloudy","partly cloudy","CV",3,2014
"pan","P33",1,"6/12/14","8:55","12:55",17.8,22.5,0.2,0.9,"clear","clear","AJR",NA,2014
"net","P33",1,"6/12/14","9:05","10:30",17.8,21.8,0.3,0.7,"clear","clear","AJR",1,2014
"net","P33",1,"6/12/14","10:35","11:42",21.8,20.3,0.7,0.3,"clear","clear","AJR",2,2014
"net","P33",1,"6/12/14","11:54","12:50",20.3,22.5,0.3,0.9,"clear","clear","AJR",3,2014
"pan","P33",2,"6/22/14","9:41","2:11",20.4,29.2,1.3,1.1,"clear","partly cloudy","LTC",NA,2014
"net","P33",2,"6/22/14","10:20","11:15",20.7,21.8,0.5,1.1,"clear","partly cloudy","LTC",1,2014
"net","P33",2,"6/22/14","11:28","12:19",21.9,23,0.8,1.1,"partly cloudy","clear","LTC",2,2014
"net","P33",2,"6/22/14","1:02","1:40",25.4,27.8,0.7,1.2,"clear","partly cloudy","LTC",3,2014
"pan","P33",3,"7/2/14","8:25","12:55",17.5,25.5,0,1.5,"clear","clear","LCP",NA,2014
"net","P33",3,"7/2/14","8:45","9:25",17.5,22.2,0,0.5,"clear","clear","LCP",1,2014
"net","P33",3,"7/2/14","9:25","10:05",27.2,24.4,0.5,0.4,"clear","clear","LCP",2,2014
"net","P33",3,"7/2/14","10:05","10:45",24.4,24,0.4,1.1,"clear","clear","LCP",3,2014
"pan","P33",4,"7/13/14","8:42","1:17",17.6,32.2,0,2.2,"clear","clear","LMH",NA,2014
"net","P33",4,"7/13/14","9:04","10:01",18.2,20.9,0,0,"clear","clear","LMH",1,2014
"net","P33",4,"7/13/14","10:11","11:00",21.3,29.9,0,1.3,"clear","clear","LMH",2,2014
"net","P33",4,"7/13/14","11:16","12:22",30.2,29.3,1,0.7,"clear","clear","LMH",3,2014
"pan","P37",1,"6/13/14","9:28","1:58",20.1,19.5,0.5,1.4,"clear","clear","LTC/JPS",NA,2014
"net","P37",1,"6/13/14","9:50","10:50",20.1,19.2,0.5,0.8,"clear","clear","LTC/JPS",1,2014
"net","P37",1,"6/13/14","9:50","10:50",20.1,19.2,0.5,0.8,"clear","clear","LTC/JPS",2,2014
"net","P37",1,"6/13/14","11:17","12:15",24.2,22.8,0.9,1.2,"clear","clear","LTC/JPS",3,2014
"pan","P37",2,"6/24/14","9:00","1:30",19.5,21.9,0.7,1.4,"clear","clear","KK",NA,2014
"net","P37",2,"6/24/14","9:26","10:07",20.6,22,0.6,0.7,"clear","clear","KK",1,2014
"net","P37",2,"6/24/14","10:11","10:58",21.8,22.8,0.6,0.6,"clear","clear","KK",2,2014
"net","P37",2,"6/24/14","11:20","12:02",22.5,22.1,1.2,2,"clear","clear","KK",3,2014
"pan","P37",3,"7/1/14","8:40","1:10",21.5,28.4,0.4,1.5,"clear","clear","LCP",NA,2014
"net","P37",3,"7/1/14","9:00","9:45",21.5,25,0.4,1,"clear","clear","LCP",1,2014
"net","P37",3,"7/1/14","9:50","10:30",25,26.6,1,0.9,"clear","clear","LCP",2,2014
"net","P37",3,"7/1/14","10:35","11:15",26.6,28,0.9,1.1,"clear","clear","LCP",3,2014
"pan","P43",1,"6/13/14","8:35","1:05",13.3,19,1.1,0.7,"clear","clear","LCP",NA,2014
"net","P43",1,"6/13/14","9:00","9:30",13.3,14.8,1.1,0.4,"clear","clear","LCP",1,2014
"net","P43",1,"6/13/14","9:50","10:25",15.2,16.9,0.4,0.5,"clear","clear","LCP",2,2014
"net","P43",1,"6/13/14","10:30","11:00",16.9,18.4,0.5,0.4,"clear","clear","LCP",3,2014
"pan","P43",2,"6/24/14","8:55","1:25",15.1,22.1,0,0.6,"clear","clear","LTC",NA,2014
"net","P43",2,"6/24/14","9:29","10:15",17.5,19,0.7,0.5,"clear","clear","LTC",1,2014
"net","P43",2,"6/24/14","10:23","11:00",19.1,21.7,0.5,0.5,"clear","partly cloudy","LTC",2,2014
"net","P43",2,"6/24/14","11:06","11:41",21.7,22.4,0.7,0.5,"partly cloudy","clear","LTC",3,2014
"pan","P43",3,"7/3/14","8:35","1:05",16.9,26.4,0,0.8,"clear","clear","LCP",NA,2014
"net","P43",3,"7/3/14","9:00","9:35",18.1,20.8,0,0,"clear","clear","LCP",1,2014
"net","P43",3,"7/3/14","9:35","10:05",20.8,21.2,0,0.5,"clear","clear","LCP",2,2014
"net","P43",3,"7/3/14","10:05","10:40",21.2,23.2,0.5,0.5,"clear","clear","LCP",3,2014
"pan","P43",4,"7/13/14","8:55","1:25",24.5,30.3,0,0.3,"clear","partly cloudy","PG",NA,2014
"net","P43",4,"7/13/14","9:27","10:06",23.8,22.8,0.3,0,"clear","clear","PG",1,2014
"net","P43",4,"7/13/14","10:10","10:40",22.8,27.8,0,0.6,"clear","clear","PG",2,2014
"net","P43",4,"7/13/14","10:48","11:25",27.8,30.5,0.6,0.7,"clear","clear","PG",3,2014
"pan","W04",1,"6/14/14","9:00","1:30",18.1,26.4,0.7,1,"clear","partly cloudy","JPS/LTC",NA,2014
"net","W04",1,"6/14/14","9:18","10:05",18.2,20,0.6,1.1,"clear","clear","JPS/LTC",1,2014
"net","W04",1,"6/14/14","9:18","10:05",18.2,20,0.6,1.1,"clear","clear","JPS/LTC",2,2014
"net","W04",1,"6/14/14","10:19","10:45",20.1,24.1,0.9,1.1,"partly cloudy","partly cloudy","JPS/LTC",3,2014
"pan","W04",2,"6/25/14","8:30","1:00",17,22.5,0.8,1.8,"clear","clear","LCP",NA,2014
"net","W04",2,"6/25/14","8:50","9:30",17,20,0.8,1.2,"clear","clear","LCP",1,2014
"net","W04",2,"6/25/14","9:30","10:15",20,22.9,1.2,1.1,"clear","clear","LCP",2,2014
"net","W04",2,"6/25/14","10:15","11:10",22.9,23.3,1.1,1.7,"clear","clear","LCP",3,2014
"pan","W04",3,"7/4/14","8:35","1:05",18.2,26,0.6,1.1,"clear","clear","LCP",NA,2014
"net","W04",3,"7/4/14","8:45","9:30",18.2,22.4,0.6,1.3,"clear","clear","LCP",1,2014
"net","W04",3,"7/4/14","9:30","10:15",22.4,24.4,1.3,1.2,"clear","clear","LCP",2,2014
"net","W04",3,"7/4/14","10:15","11:00",24.4,24.4,1.2,1.2,"clear","clear","LCP",3,2014
"pan","W04",4,"7/14/14","8:45","1:15",24.6,29.4,0.5,0.7,"clear","partly cloudy","LTC",NA,2014
"net","W04",4,"7/14/14","9:20","10:23",27,27.5,0.5,0.6,"clear","partly cloudy","LTC",1,2014
"net","W04",4,"7/14/14","10:30","11:09",28,30.8,0.6,0.5,"partly cloudy","partly cloudy","LTC",2,2014
"net","W04",4,"7/14/14","11:15","11:58",30.9,32.6,0.5,0.5,"partly cloudy","partly cloudy","LTC",3,2014
"pan","P37",4,"7/13/14","9:00","1:45",24.8,29.5,0,0.8,"clear","clear","LKM",NA,2014
"net","P37",4,"7/13/14","9:30","10:10",25.8,27.5,0.3,0.9,"clear","clear","LKM",1,2014
"net","P37",4,"7/13/14","10:10","10:46",27.5,27.8,0.9,0.9,"clear","clear","LKM",2,2014
"net","P37",4,"7/13/14","11:03","11:43",27.9,29.2,0.6,0.9,"clear","clear","LKM",3,2014
