"InsectPK","Order","Family","Genus","SubGenus","Species","SubSpecies","Determiner","Author","GeneralID","Sex"
198,"Hymenoptera","Megachilidae","Ashmeadiella","Ashmeadiella","californica","","T. Griswold","Ashmead","Bee","f"
199,"Hymenoptera","Chrysididae","Hedychrum","","parvum","","L. Kimsey","Aaron","Wasp","f"
200,"Hymenoptera","Chrysididae","Chrysis","","scitula","","L. Kimsey","Cresson","Wasp","f"
201,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","sp.","kn","","","Bee","m"
202,"Hymenoptera","Apidae","Anthophora","Heliophila","flexipes","","M.C. Orr","Cresson","Bee","f"
203,"Hymenoptera","Andrenidae","Perdita","","sp.","a.","R.W. Thorp","","Bee","m"
204,"Diptera","Syrphinae","Ferdinandea","","sp.","a","M. Hauser","","Fly",""
205,"Hymenoptera","Megachilidae","Coelioxys","Cyrtocoelioxys","gilensis","aff.","T. Griswold","Cockerell","Bee","m"
206,"Diptera","Syrphinae","Eristalis","","hirta","","M. Hauser","Loew","Fly","m"
207,"Diptera","Syrphinae","Syrphus","","opinator","","M. Hauser","Vockeroth","Fly","f"
208,"Hymenoptera","Megachilidae","Megachile","Sayapis","fidelis","","T. Griswold","Cresson","Bee","f"
209,"Coleoptera",NA,"Stenostrophia","","amabilis","","L. Ponisio","LeConte","Beetle",""
210,"Hymenoptera","Megachilidae","Stelis","Stelis","carnifex","","T. Griswold","Cockerell","Bee","f"
211,"Hymenoptera","Apidae","Xeromelecta","Melectomorpha","californica","","R.W. Thorp","Cresson","Bee","f"
212,"Diptera","Syrphinae","Ocyptamus","","lemur","","M. Hauser","Osten Sacken","Fly","m"
213,"Diptera","Syrphinae","Syrphus","","sonorensis","","M. Hauser","Vockeroth","Fly","f"
214,"Diptera","Syrphinae","Taxomerus","","marginatus","","M. Hauser","Say","Fly","f"
215,"Lepidoptera","","Polygonia","","gracilis","","L.Ponisio","Grote & Robinson","Lep",""
216,"Diptera","Syrphinae","Brachyopa","","sp.","a","M. Hauser","","Fly",""
217,"Hymenoptera","Megachilidae","Hoplitis","Alcidamea","producta","","T. Griswold","Cresson","Bee","f"
218,"Hymenoptera","Megachilidae","Osmia","Melanosmia","pusilla","","T. Griswold","Cresson","Bee","f"
219,"Hymenoptera","Apidae","Nomada","","sp.","a","R.W. Thorp","","Bee","f"
220,"Hymenoptera","Andrenidae","Andrena","Thysandrena","w-scripta","","R.W. Thorp","Viereck","Bee","f"
221,"Diptera","Syrphinae","Platycheirus","","sp.","b","M. Hauser","","Fly",""
222,"Hymenoptera","Megachilidae","Osmia","Melanosmia","sp.","Y4","T. Griswold","","Bee","m"
223,"Hymenoptera","Megachilidae","Osmia","Melanosmia","tristella","","T. Griswold","Cockerell","Bee","f"
224,"Hymenoptera","Apidae","Nomada","","sp.","b","R.W. Thorp","","Bee","f"
225,"Hymenoptera","Megachilidae","Osmia","Melanosmia","malina","","T. Griswold","Cockerell","Bee","f"
226,"Hymenoptera","Megachilidae","Osmia","Melanosmia","visenda","","T. Griswold","Sandhouse","Bee","m"
227,"Hymenoptera","Andrenidae","Andrena","Andrena","nigrocaerulea","","R.W. Thorp","Cockerell","Bee","f"
228,"Diptera","Syrphinae","Pseudoscaeva","","diversificata","","M. Hauser","Knab","Fly","f"
229,"Diptera","Syrphinae","Neocnemodom","","sp.","a","M. Hauser","","Fly",""
230,"Hymenoptera","Megachilidae","Osmia","Melanosmia","cara","","T. Griswold","Cockerell","Bee","f"
231,"Hymenoptera","Megachilidae","Dianthidium","Dianthidium","pudicum","","T. Griswold","","Bee","f"
232,"Hymenoptera","Megachilidae","Osmia","Melanosmia","pusilla","","T. Griswold","Cresson","Bee","m"
233,"Hymenoptera","Megachilidae","Osmia","Melanosmia","juxta","","T. Griswold","Cresson","Bee","m"
234,"Hymenoptera","Megachilidae","Osmia","Cephalosmia","subaustralis","","T. Griswold","Cockerell","Bee","m"
235,"Diptera","Acroceridae","Eulonchus","","tristis","","M. Hauser","Loew","Fly","m"
236,"Hymenoptera","Apidae","Bombus","Bombus","bifarius","","R.W. Thorp","Cresson","Bee","queen"
237,"Hymenoptera","Megachilidae","Osmia","Melanosmia","pikei","","T. Griswold","Cockerell","Bee","f"
238,"Hymenoptera","Megachilidae","Ashmeadiella","Ashmeadiella","californica","","T. Griswold","Ashmead","Bee","m"
239,"Diptera","Conopidae","Dalmannia","","sp","a","M. Hauser","","Fly",""
240,"Hymenoptera","Halictidae","Dufourea","","versatilis","rubriventris","T. Griswold","Michener","Bee","m"
241,"Hymenoptera","Megachilidae","Ashmeadiella","Arogochila","timberlakei","","R.W. Thorp","Michener","Bee","m"
242,"Hymenoptera","Chrysididae","Holopyga","","ventralis","","L. Kimsey","Say","Wasp","f"
243,"Hymenoptera","Megachilidae","Osmia","Melanosmia","laeta","","T. Griswold","Sandhouse","Bee","m"
244,"Hymenoptera","Andrenidae","Andrena","Andrena","cerasifolii","","R.W. Thorp","Cockerell","Bee","f"
245,"Hymenoptera","Megachilidae","Osmia","Melanosmia","sp.","Y4","T. Griswold","","Bee","f"
246,"Hymenoptera","Andrenidae","Andrena","Dactylandrena","porterae","","R.W. Thorp","Cockerell","Bee","f"
247,"Hymenoptera","Andrenidae","Andrena","Thysandrena","medionitens","","R.W. Thorp","Cockerell","Bee","f"
248,"Hymenoptera","Andrenidae","Andrena","Andrena","chapmanae","","R.W. Thorp","Viereck","Bee","f"
249,"Hymenoptera","Megachilidae","Megachile","Xanthosarus","frigida","","T. Griswold","Smith","Bee","f"
250,"Hymenoptera","Andrenidae","Andrena","Euandrena","hamulata","","R.W. Thorp","LaBerge & Ribble","Bee","f"
251,"Diptera","Syrphinae","Sphaerophoria","","sulphuripes","","M. Hauser","Thomson","Fly","m"
252,"Hymenoptera","Megachilidae","Osmia","Melanosmia","cyanella","","T. Griswold","Cockerell","Bee","f"
253,"Hymenoptera","Chrysididae","Holopyga","","horus","","L. Kimsey","Aaron","Wasp","f"
254,"Hymenoptera","Megachilidae","Osmia","Melanosmia","trevoris","","T. Griswold","Cockerell","Bee","f"
255,"Diptera","Syrphinae","Eristalis","","stipator","","M. Hauser","Osten Sacken","Fly","m"
256,"Diptera","Syrphinae","Pipiza","","sp.","a","M. Hauser","","Fly",""
257,"Hymenoptera","Megachilidae","Stelis","Stelis","calliphorina","","T. Griswold","Cockerell","Bee","m"
258,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","diatretum","cf.","Jason Gibbs","","Bee","m"
259,"Diptera","Conopidae","Zodion","","sp","a","M. Hauser","","Fly","m"
260,"Hymenoptera","Megachilidae","Anthidium","Anthidium","placitum","","T. Griswold","Cresson","Bee","m"
261,"Hymenoptera","Megachilidae","Coelioxys","Xerocoelioxys","grindeliae","","T. Griswold","Cockerell","Bee","m"
262,"Hymenoptera","Megachilidae","Megachile","Megachiloides","wheeleri","","T. Griswold","Mitchell","Bee","m"
263,"Hymenoptera","Apidae","Anthophora","Heliophila","exigua","","M.C. Orr","Cresson","Bee","f"
264,"Diptera","Syrphinae","Chalcosyrphu","","sp.","a","M. Hauser","","Fly",""
265,"Hymenoptera","Megachilidae","Hoplitis","Monumetha","albifrons","albifrons","T. Griswold","Kirby","Bee","m"
266,"Hymenoptera","Megachilidae","Chelostoma","Chelostoma","phaceliae","","R.W. Thorp","Michener","Bee","f"
267,"Hymenoptera","Megachilidae","Dianthidium","Dianthidium","pudicum","","T. Griswold","","Bee","m"
268,"Diptera","Bombyliidae","Bombylius","","sp","b","M. Hauser","","Fly",""
269,"Hymenoptera","Halictidae","Dufourea","","versatilis","rubriventris","T. Griswold","Michener","Bee","f"
270,"Hymenoptera","Megachilidae","Osmia","Melanosmia","nifoata","","T. Griswold","Cockerell","Bee","f"
271,"Hymenoptera","Megachilidae","Coelioxys","Cyrtocoelioxys","gilensis","aff.","T. Griswold","Cockerell","Bee","f"
272,"Diptera","Syrphinae","Paragus","","haemorrhous","","M. Hauser"," Thomson","Fly","m"
273,"Hymenoptera","Chrysididae","Omalus","","glomeratus","","L. Kimsey","Buysson","Wasp","f"
274,"Diptera","Bombyliidae","Poecilanthrax","","sp.","b","M. Hauser","","Fly",""
275,"Hymenoptera","Apidae","Epeolus","","sp.","a","R.W. Thorp","","Bee",""
276,"Hymenoptera","Megachilidae","Stelis","Dolichostelis","laticincta","","T. Griswold","Cresson","Bee","f"
277,"Hymenoptera","Apidae","Bombus","Psithyrus","insularis","","R.W. Thorp","Smith","Bee","f"
278,"Hymenoptera","Andrenidae","Andrena","Andrena","birtwelli","","R.W. Thorp","Cockerell","Bee","f"
279,"Hymenoptera","Apidae","Melissodes","Eumelissodes","microsticta","","R.W. Thorp","Cockerell","Bee","f"
280,"Diptera","Syrphinae","Spilonyia","","interrupta","","M. Hauser","Williston","Fly",""
281,"Diptera","Bombyliidae","Poecilanthrax","","sp.","a","M. Hauser","","Fly",""
282,"Lepidoptera","","Satyrium","","sylvinus","","L.Ponisio","Hubner","Lep",""
283,"Diptera","Syrphinae","Ocyptamus","","lemur","","M. Hauser","Osten Sacken","Fly","f"
284,"Diptera","Syrphinae","Syrphus","","opinator","","M. Hauser","Osten Sacken","Fly","m"
285,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","cyaneonotum","","Jason Gibbs","","Bee","m"
286,"Diptera","Syrphinae","Arctophila","","flagrans","","M. Hauser","Osten Sacken","Fly","f"
287,"Hymenoptera","Megachilidae","Anthidium","Anthidium","maculosum","","T. Griswold","Cresson","Bee","m"
288,"Hymenoptera","Megachilidae","Megachile","Megachile","montivaga","","T. Griswold","Cresson","Bee","f"
289,"Lepidoptera","","Plebejus","","acmon","","L.Ponisio","Westwood","Lep","f"
290,"Hymenoptera","Andrenidae","Andrena","Micrandrena","candidiformis","","R.W. Thorp","Viereck & Cockerell","Bee","f"
291,"Hymenoptera","Megachilidae","Stelis","Stelis","occidentalis","","T. Griswold","Parker","Bee","m"
292,"Hymenoptera","Andrenidae","Andrena","Thysandrena","medionitens","","R.W. Thorp","Cockerell","Bee","m"
293,"Hymenoptera","Megachilidae","Osmia","Melanosmia","calla","","T. Griswold","Cockerell","Bee","m"
294,"Hymenoptera","Megachilidae","Anthidium","Anthidium","atrifrons","","T. Griswold","Cresson","Bee","f"
295,"Diptera","Bombyliidae","Anthrax","","sp","a","M. Hauser","","Fly",""
296,"Hymenoptera","Megachilidae","Anthidium","Anthidium","placitum","","T. Griswold","Cresson","Bee","f"
297,"Hymenoptera","Megachilidae","Coelioxys","Boreocoelioxys","moesta","","R.W. Thorp","Cresson","Bee","m"
298,"Lepidoptera","","Parnassius","","clodius","","L.Ponisio","Menetries","Lep","f"
299,"Lepidoptera","","Lycaena","","nivalis","","L.Ponisio","Boisduval","Lep",""
300,"Lepidoptera","","Plebejus","","acmon","","L.Ponisio","Westwood","Lep","m"
301,"Hymenoptera","Megachilidae","Megachile","Xanthosarus","gemula","cressonii","T. Griswold","Dalla Torre","Bee","m"
302,"Hymenoptera","Chrysididae","Hedychrum","","nigropilosum","","L. Kimsey","Mocsary","Wasp","f"
303,"Hymenoptera","Megachilidae","Megachile","Litomegachile","gentilis","","T. Griswold","Cresson","Bee","m"
304,"Hymenoptera","Megachilidae","Stelis","Stelis","holocyanea","","T. Griswold","Cockerell","Bee","f"
305,"Hymenoptera","Apidae","Triepeolus","","sp.","a","R.W. Thorp","","Bee",""
306,"Hymenoptera","Chrysididae","Philoctetes","","plicatus","","L. Kimsey","Aaron","Wasp","f"
307,"Coleoptera",NA,"Trachysida","","aspera","","L. Ponisio","LeConte","Beetle",""
308,"Hymenoptera","Megachilidae","Osmia","Melanosmia","phaceliae","","T. Griswold","Cockerell","Bee","m"
309,"Hymenoptera","Andrenidae","Andrena","Andrena","edwardsi","","R.W. Thorp","Viereck","Bee","m"
310,"Diptera","Acroceridae","Eulonchus","","tristis","","M. Hauser","Loew","Fly","f"
311,"Hymenoptera","Megachilidae","Hoplitis","Monumetha","fulgida","platyura","T. Griswold","Cockerell","Bee","m"
312,"Coleoptera",NA,"Dichelonyx","","backi","","L. Ponisio","Kirby","Beetle",""
313,"Hymenoptera","Megachilidae","Osmia","Melanosmia","cyanella","","T. Griswold","Cockerell","Bee","m"
314,"Diptera","Syrphidae","Cheilosia","","sp. a","","L.Ponisio","Meigen","Fly",""
315,"Hymenoptera","Halictidae","Sphecodes","","sp.","a","R.W. Thorp","","Bee","f"
316,"Hymenoptera","Megachilidae","Anthidium","Anthidium","banningense","","T. Griswold","Cockerell","Bee","m"
317,"Hymenoptera","Megachilidae","Anthidiellum","Loyalanthidium","notatum","robertsoni","T. Griswold","Cockerell","Bee","f"
318,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","punctatoventre","cf.","Jason Gibbs","","Bee","m"
319,"Hymenoptera","Megachilidae","Osmia","Helicosmia","texana","","T. Griswold","Cresson","Bee","f"
320,"Hymenoptera","Megachilidae","Stelis","Stelis","sp.","b","T. Griswold","","Bee","f"
321,"Hymenoptera","Halictidae","Sphecodes","","sp.","b","R.W. Thorp","","Bee","m"
322,"Hymenoptera","Megachilidae","Anthidiellum","Loyalanthidium","notatum","robertsoni","T. Griswold","Cockerell","Bee","m"
323,"Hymenoptera","Megachilidae","Osmia","Melanosmia","atrocyanea","","T. Griswold","Cockerell","Bee","f"
324,"Hymenoptera","Megachilidae","Megachile","Litomegachile","gentilis","","T. Griswold","Cresson","Bee","f"
325,"Diptera","Syrphinae","Spheyina","","sp.","a","M. Hauser","","Fly",""
326,"Coleoptera",NA,"Xylotrechus","","insignis","","L. Ponisio","LeConte","Beetle",""
327,"Hymenoptera","Megachilidae","Stelis","Stelis","incisa","new sp.","T. Griswold","","Bee","m"
328,"Hymenoptera","Megachilidae","Anthidium","Anthidium","atrifrons","","T. Griswold","Cresson","Bee","m"
329,"Coleoptera",NA,"Leptura","","hovorei","","L. Ponisio","Swift","Beetle",""
330,"Hymenoptera","Chrysididae","Chrysis","","nitidual","","L. Kimsey","Fabricus","Wasp","f"
331,"Hymenoptera","Megachilidae","Anthidium","Anthidium","maculosum","","T. Griswold","Cresson","Bee","f"
332,"Diptera","Bombyliidae","Toxophora","","sp","a","M. Hauser","","Fly",""
333,"Hymenoptera","Apidae","Melissodes","Eumelissodes","micheneri","","Karen Wright","LaBerge","Bee","m"
334,"Hymenoptera","Chrysididae","Philoctetes","","variatus","","L. Kimsey","Aaron","Wasp","f"
335,"Hymenoptera","Colletidae","Colletes","simulans","slevini","","T. Griswold","Cockerell","Bee","m"
336,"Hymenoptera","Megachilidae","Coelioxys","Synocoelioxys","apacheorum","","R.W. Thorp","Cockerell","Bee","f"
337,"Hymenoptera","Megachilidae","Osmia","Melanosmia","pentstemonis","","T. Griswold","Cockerell","Bee","f"
338,"Hymenoptera","Apidae","Melissodes","Eumelissodes","micheneri","","Karen Wright","LaBerge","Bee","f"
339,"Hymenoptera","Megachilidae","Megachile","Xanthosarus","perihirta","","T. Griswold","Cockerell","Bee","m"
340,"Lepidoptera","","Strymon","","melinus","","L.Ponisio","Hubner","Lep",""
341,"Lepidoptera","","Danaus","","plexippus","","L.Ponisio","Linnaeus","Lep","f"
342,"Lepidoptera","","Papilio","","eurymedon","","L.Ponisio","Lucas","Lep",""
343,"Hymenoptera","Halictidae","Halictus","Seladonia","tripartitus","","R.W. Thorp","Cockerell","Bee","f"
344,"Hymenoptera","Megachilidae","Hoplitis","Alcidamea","producta","","T. Griswold","Cresson","Bee","m"
345,"Hymenoptera","Chrysididae","Hedychridium","","menkei","","L. Kimsey","Bohart","Wasp","f"
346,"Hymenoptera","Andrenidae","Andrena","Diandrena","nothocalaidis","","R.W. Thorp","Cockerell","Bee","f"
347,"Coleoptera",NA,"Buprestis","","adjecta","","L. Ponisio","LeConte","Beetle",""
348,"Coleoptera",NA,"Buprestis","","gibbsi","","L. Ponisio","LeConte","Beetle",""
349,"Hymenoptera","Chrysididae","Hedychridium","","paulum","","L. Kimsey","Bohart","Wasp","f"
350,"Hymenoptera","Megachilidae","Osmia","Melanosmia","bakeri","","T. Griswold","Sandhouse","Bee","m"
351,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","prasinogaster","aff.","Jason Gibbs","","Bee","m"
352,"Hymenoptera","Megachilidae","Osmia","Melanosmia","aglaia","","T. Griswold","Sandhouse","Bee","m"
353,"Hymenoptera","Megachilidae","Osmia","Melanosmia","cyanopoda","","T. Griswold","Cockerell","Bee","m"
354,"Hymenoptera","Andrenidae","Andrena","","sp.","a","R.W. Thorp","","Bee","m"
355,"Hymenoptera","Megachilidae","Hoplitis","Proteriades","linsdalei","","T. Griswold","Michener","Bee","f"
356,"Hymenoptera","Chrysididae","Pseudotopyva","","taylori","","L. Kimsey","Bodenstein","Wasp","f"
357,"Coleoptera",NA,"Acmaeodera","","connexa","","L. Ponisio","LeConte","Beetle",""
358,"Hymenoptera","Apidae","Ceratina","Zadontomerus","nanula","","R.W. Thorp","Cockerell","Bee","f"
359,"Coleoptera",NA,"Acmaeodera","","sp.","","L. Ponisio","","Beetle",""
360,"Hymenoptera","Andrenidae","Andrena","Onagrandrena","vanduzeei","","R.W. Thorp","Linsley","Bee","m"
361,"Hymenoptera","Megachilidae","Osmia","Melanosmia","brevis","","T. Griswold","Cresson","Bee","m"
362,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","knereri","cf.","Jason Gibbs","","Bee","f"
363,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","nevadense","","Jason Gibbs","","Bee","f"
364,"Hymenoptera","Megachilidae","Osmia","Melanosmia","exigua","","T. Griswold","Cresson","Bee","m"
365,"Hymenoptera","Halictidae","Sphecodes","","sp.","b","R.W. Thorp","","Bee","f"
366,"Hymenoptera","Halictidae","Dufourea","","spinifera","aff.","T. Griswold","","Bee","m"
367,"Hymenoptera","Megachilidae","Stelis","Stelis","monticola","","T. Griswold","Cresson","Bee","f"
368,"Diptera","Asilidae","Machimus","","sp","a","M. Hauser","","Fly",""
369,"Hymenoptera","Chrysididae","Ceratochrysis","","cyanosoma","","L. Kimsey","Mocsary","Wasp","f"
370,"Hymenoptera","Megachilidae","Ashmeadiella","Ashmeadiella","cubiceps","cubiceps","T. Griswold","Cresson","Bee","m"
371,"Hymenoptera","Megachilidae","Dianthidium","Dianthidium","plenum","","T. Griswold","Timberlake","Bee","f"
372,"Hymenoptera","Andrenidae","Andrena","","sp.","b","R.W. Thorp","","Bee","m"
373,"Hymenoptera","Chrysididae","Philoctetes","","dormeyi","","L. Kimsey","Bohart & Campos","Wasp","f"
374,"Hymenoptera","Megachilidae","Stelis","Stelis","occidentalis","","T. Griswold","Parker","Bee","f"
375,"Hymenoptera","Chrysididae","Philoctetes","","sp.","a","L. Kimsey","","Wasp","f"
376,"Hymenoptera","Megachilidae","Osmia","Melanosmia","cobaltina","","T. Griswold","Cresson","Bee","f"
377,"Hymenoptera","Chrysididae","Hedychridium","","crassum","","L. Kimsey","Bohart","Wasp","f"
378,"Hymenoptera","Megachilidae","Atoposmia","Atoposmia","triodonta","shastensis","T. Griswold","Cockerell","Bee","f"
379,"Hymenoptera","Apidae","Nomada","","sp.","c","R.W. Thorp","","Bee","f"
380,"Hymenoptera","Chrysididae","Chrysura","","pacifica","","L. Kimsey","Say","Wasp","f"
381,"Hymenoptera","Chrysididae","Ceratochrysis","","sp.","a","L. Kimsey","","Wasp","f"
382,"Hymenoptera","Megachilidae","Megachile","Megachile","montivaga","","T. Griswold","Cresson","Bee","m"
383,"Hymenoptera","Chrysididae","Ceratochrysis","","sierrae","","L. Kimsey","Bohart","Wasp","f"
384,"Hymenoptera","Chrysididae","Argochrysis","","excelsior","","L. Kimsey","Bohart","Wasp","f"
385,"Hymenoptera","Chrysididae","Argochrysis","","excelsior","","L. Kimsey","Bohart","Wasp","m"
386,"Diptera","Asilidae","Stenopogon","","sp","a","M. Hauser","","Fly",""
387,"Hymenoptera","Chrysididae","Chrysura","","cobaltine","","L. Kimsey","Aaron","Wasp","f"
388,"Hymenoptera","Chrysididae","Hedychridium","","sp.","a","L. Kimsey","","Wasp","f"
389,"Hymenoptera","Chrysididae","Cleptes","","alienus","","L. Kimsey","Patton","Wasp","f"
390,"Lepidoptera","","Neophasia","","menapia","","L.Ponisio","C. Felder and R. Felder","Lep",""
391,"Hymenoptera","Halictidae","Agapostemon","Agapostemon","texanus","","R.W. Thorp","Cresson","Bee","f"
392,"Hymenoptera","Chrysididae","Hedychridium","","solierellae","","L. Kimsey","Bohart & Brumley","Wasp","f"
393,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","hairy","","Jason Gibbs","","Bee","f"
394,"Lepidoptera","","Lycaena","","editha","","L.Ponisio","Mead","Lep",""
