"Site","Date","BloomStatus","FlowerNum","PlantFK"
"L21","6/26/13","full bloom",2,2
"L21","7/13/13","full bloom",2,2
"L21","7/17/13","full bloom",2,2
"L21","7/30/13","finishing bloom",2,2
"L21","6/12/14","full bloom",3,2
"L21","6/22/14","full bloom",2,2
"L21","7/3/14","full bloom",3,2
"L21","7/13/14","full bloom",3,2
"L24","6/27/13","full bloom",3,2
"L24","7/13/13","full bloom",3,2
"L24","7/18/13","full bloom",3,2
"L24","7/31/13","finishing bloom",3,2
"L24","6/13/14","beginning to bloom to bloom",3,2
"L24","6/23/14","full bloom",3,2
"L24","7/2/14","full bloom",4,2
"L24","7/13/14","full bloom",5,2
"L35","6/27/13","full bloom",3,2
"L35","7/13/13","full bloom",3,2
"L35","7/18/13","full bloom",3,2
"L35","7/29/13","finishing bloom",2,2
"L35","6/12/14","full bloom",1,2
"L35","6/22/14","full bloom",1,2
"L35","7/3/14","finishing bloom",1,2
"L35","7/13/14","finishing bloom",2,2
"N134","7/8/13","full bloom",2,2
"N134","7/11/13","full bloom",2,2
"N134","7/22/13","full bloom",2,2
"N134","7/25/13","full bloom",2,2
"N134","6/17/14","not blooming",2,2
"N134","7/6/14","full bloom",1,2
"N134","7/9/14","full bloom",3,2
"N134","7/17/14","not blooming",0,2
"N135","6/18/14","beginning to bloom to bloom",1,2
"N135","7/6/14","beginning to bloom to bloom",3,2
"N135","7/19/14","not blooming",1,2
"N135","7/19/14","full bloom",1,2
"N137","7/9/13","full bloom",3,2
"N137","7/12/13","full bloom",3,2
"N137","7/24/13","finishing bloom",2,2
"N137","7/26/13","finishing bloom",2,2
"N137","7/7/14","full bloom",3,2
"N137","7/10/14","full bloom",2,2
"N137","7/19/14","full bloom",2,2
"P310","6/29/13","full bloom",2,2
"P310","7/13/13","full bloom",2,2
"P310","7/17/13","full bloom",2,2
"P310","7/31/13","full bloom",1,2
"P310","6/12/14","not blooming",0,2
"P310","6/24/14","not blooming",0,2
"P310","7/1/14","finishing bloom",1,2
"P310","7/13/14","finishing bloom",1,2
"P33","6/27/13","full bloom",2,2
"P33","7/13/13","full bloom",2,2
"P33","7/18/13","full bloom",2,2
"P33","7/29/13","full bloom",2,2
"P33","6/12/14","not blooming",0,2
"P33","6/22/14","not blooming",0,2
"P33","7/2/14","not blooming",0,2
"P33","7/13/14","not blooming",0,2
"P37","6/28/13","full bloom",2,2
"P37","7/13/13","finishing bloom",2,2
"P37","7/19/13","finishing bloom",2,2
"P37","7/30/13","finishing bloom",2,2
"P37","6/13/14","not blooming",0,2
"P37","6/24/14","full bloom",2,2
"P37","7/1/14","full bloom",1,2
"P37","7/13/14","",0,2
"W04","6/30/13","not blooming",0,2
"W04","7/14/13","full bloom",2,2
"W04","7/20/13","full bloom",2,2
"W04","8/1/13","full bloom",2,2
"W04","6/14/14","not blooming",0,2
"W04","6/25/14","not blooming",0,2
"W04","7/4/14","not blooming",0,2
"W04","7/14/14","not blooming",0,2
"N136","7/9/13","full bloom",3,3
"N136","7/12/13","full bloom",3,3
"N136","7/24/13","finishing bloom",3,3
"N136","7/26/13","finishing bloom",3,3
"N136","6/17/14","beginning to bloom to bloom",2,3
"N136","7/7/14","full bloom",3,3
"N136","7/10/14","full bloom",4,3
"N136","7/17/14","full bloom",3,3
"L21","6/12/14","not blooming",0,4
"L21","6/22/14","not blooming",0,4
"L21","7/3/14","finishing bloom",1,4
"L21","7/13/14","not blooming",0,4
"L24","6/13/14","full bloom",1,NA
"L24","6/23/14","not blooming",0,NA
"L24","7/2/14","not blooming",0,NA
"L24","7/13/14","not blooming",0,NA
"N132","6/14/14","full bloom",1,NA
"N132","6/25/14","not blooming",0,NA
"N132","7/4/14","not blooming",0,NA
"N132","7/14/14","not blooming",0,NA
"P37","6/28/13","not blooming",0,NA
"P37","7/13/13","not blooming",0,NA
"P37","7/19/13","not blooming",0,NA
"P37","7/30/13","not blooming",0,NA
"P37","6/13/14","not blooming",0,NA
"P37","6/24/14","not blooming",0,NA
"P37","7/1/14","not blooming",0,NA
"P37","7/13/14","not blooming",0,NA
"N131","6/30/13","full bloom",2,5
"N131","7/14/13","full bloom",3,5
"N131","7/20/13","full bloom",3,5
"N131","8/1/13","finishing bloom",3,5
"N131","6/14/14","not blooming",0,5
"N131","6/25/14","beginning to bloom to bloom",2,5
"N131","7/4/14","full bloom",3,5
"N131","7/14/14","full bloom",4,5
"N133","7/8/13","full bloom",5,5
"N133","7/11/13","full bloom",5,5
"N133","7/23/13","finishing bloom",4,5
"N133","7/25/13","finishing bloom",4,5
"N133","6/18/14","beginning to bloom to bloom",2,5
"N133","7/7/14","full bloom",4,5
"N133","7/10/14","full bloom",3,5
"N133","7/18/14","full bloom",2,5
"N135","7/8/13","beginning to bloom",2,5
"N135","7/11/13","beginning to bloom",2,5
"N135","7/22/13","finishing bloom",1,5
"N135","7/25/13","finishing bloom",1,5
"N135","6/18/14","not blooming",0,5
"N135","7/6/14","full bloom",5,5
"N135","7/9/14","finishing bloom",3,5
"N135","7/19/14","finishing bloom",2,5
"N137","7/9/13","full bloom",3,5
"N137","7/12/13","full bloom",3,5
"N137","7/24/13","finishing bloom",3,5
"N137","7/26/13","finishing bloom",2,5
"N137","6/19/14","not blooming",0,5
"N137","7/7/14","full bloom",2,5
"N137","7/10/14","full bloom",2,5
"N137","7/19/14","full bloom",3,5
"N139","7/9/13","beginning to bloom",1,5
"N139","7/12/13","full bloom",3,5
"N139","7/24/13","finishing bloom",2,5
"N139","7/26/13","finishing bloom",2,5
"N139","6/18/14","full bloom",1,5
"N139","7/6/14","full bloom",2,5
"N139","7/9/14","full bloom",2,5
"N139","7/18/14","full bloom",2,5
"P24","6/27/13","not blooming",0,5
"P24","7/13/13","not blooming",0,5
"P24","7/19/13","not blooming",0,5
"P24","7/29/13","not blooming",0,5
"P24","6/12/14","not blooming",0,5
"P24","6/23/14","not blooming",0,5
"P24","7/2/14","not blooming",0,5
"P24","7/13/14","not blooming",0,5
"P310","6/29/13","not blooming",0,5
"P310","7/13/13","finishing bloom",3,5
"P310","7/17/13","finishing bloom",3,5
"P310","7/31/13","finishing bloom",2,5
"P310","6/12/14","not blooming",0,5
"P310","6/24/14","beginning to bloom to bloom",1,5
"P310","7/1/14","beginning to bloom to bloom",3,5
"P310","7/13/14","beginning to bloom to bloom",2,5
"P33","6/12/14","full bloom",0,5
"P33","6/22/14","finishing bloom",0,5
"P33","7/2/14","finishing bloom",0,5
"P33","7/13/14","full bloom",2,5
"P43","6/12/14","not blooming",0,5
"P43","6/23/14","not blooming",0,5
"P43","7/2/14","not blooming",0,5
"P43","7/13/14","full bloom",2,5
"W04","6/30/13","not blooming",0,5
"W04","7/14/13","full bloom",2,5
"W04","7/20/13","finishing bloom",2,5
"W04","8/1/13","finishing bloom",2,5
"W04","6/14/14","not blooming",0,5
"W04","6/25/14","full bloom",2,5
"W04","7/4/14","full bloom",2,5
"W04","7/14/14","full bloom",4,5
"N134","7/8/13","full bloom",1,NA
"N134","7/11/13","full bloom",1,NA
"N134","7/22/13","not blooming",0,NA
"N134","7/25/13","not blooming",0,NA
"N134","6/17/14","beginning to bloom to bloom",3,NA
"N134","7/6/14","full bloom",2,NA
"N134","7/9/14","not blooming",0,NA
"N134","7/17/14","not blooming",0,NA
"N136","7/9/13","full bloom",1,NA
"N136","7/12/13","full bloom",1,NA
"N136","7/24/13","not blooming",0,NA
"N136","7/26/13","not blooming",0,NA
"N136","6/17/14","not blooming",0,NA
"N136","7/7/14","not blooming",0,NA
"N136","7/10/14","full bloom",1,NA
"N136","7/17/14","finishing bloom",1,NA
"L21","6/26/13","not blooming",0,NA
"L21","7/13/13","not blooming",0,NA
"L21","7/17/13","not blooming",0,NA
"L21","7/30/13","not blooming",0,NA
"L21","6/12/14","not blooming",0,NA
"L21","6/22/14","not blooming",0,NA
"L21","7/3/14","not blooming",0,NA
"L21","7/13/14","not blooming",0,NA
"P310","6/29/13","not blooming",0,NA
"P310","7/13/13","not blooming",0,NA
"P310","7/17/13","not blooming",0,NA
"P310","7/31/13","not blooming",0,NA
"P310","6/12/14","not blooming",0,NA
"P310","6/24/14","not blooming",0,NA
"P310","7/1/14","not blooming",0,NA
"P310","7/13/14","not blooming",0,NA
"N131","6/30/13","finishing bloom",1,NA
"N131","7/14/13","not blooming",0,NA
"N131","7/20/13","not blooming",0,NA
"N131","8/1/13","not blooming",0,NA
"N131","6/14/14","not blooming",0,NA
"N131","6/25/14","beginning to bloom to bloom",2,NA
"N131","7/4/14","not blooming",0,NA
"N131","7/14/14","not blooming",0,NA
"N133","7/8/13","finishing bloom",3,NA
"N133","7/11/13","not blooming",0,NA
"N133","7/23/13","not blooming",0,NA
"N133","7/25/13","not blooming",0,NA
"N133","6/18/14","not blooming",0,NA
"N133","7/7/14","not blooming",0,NA
"N133","7/10/14","not blooming",0,NA
"N133","7/18/14","not blooming",0,NA
"P24","6/27/13","not blooming",0,NA
"P24","7/13/13","not blooming",0,NA
"P24","7/19/13","not blooming",0,NA
"P24","7/29/13","not blooming",0,NA
"P24","6/12/14","not blooming",0,NA
"P24","6/23/14","not blooming",0,NA
"P24","7/2/14","not blooming",0,NA
"P24","7/13/14","not blooming",0,NA
"P43","6/28/13","not blooming",0,NA
"P43","7/13/13","not blooming",0,NA
"P43","7/17/13","not blooming",0,NA
"P43","7/30/13","not blooming",0,NA
"P43","6/13/14","not blooming",0,NA
"P43","6/24/14","not blooming",0,NA
"P43","7/3/14","not blooming",0,NA
"P43","7/13/14","not blooming",0,NA
"W04","6/30/13","not blooming",0,NA
"W04","7/14/13","not blooming",0,NA
"W04","7/20/13","not blooming",0,NA
"W04","8/1/13","not blooming",0,NA
"W04","6/14/14","not blooming",0,NA
"W04","6/25/14","not blooming",0,NA
"W04","7/4/14","not blooming",0,NA
"W04","7/14/14","not blooming",0,NA
"L21","6/26/13","full bloom",1,6
"L21","7/13/13","finishing bloom",1,6
"L21","7/17/13","finishing bloom",1,6
"L21","7/30/13","finishing bloom",1,6
"L21","6/12/14","full bloom",1,6
"L21","6/22/14","not blooming",0,6
"L21","7/3/14","not blooming",0,6
"L21","7/13/14","not blooming",0,6
"L24","6/27/13","full bloom",1,6
"L24","7/13/13","finishing bloom",1,6
"L24","7/18/13","finishing bloom",1,6
"L24","7/31/13","finishing bloom",1,6
"L24","6/13/14","not blooming",0,6
"L24","6/23/14","full bloom",1,6
"L24","7/2/14","finishing bloom",2,6
"L24","7/13/14","full bloom",2,6
"N131","6/30/13","not blooming",0,7
"N131","7/14/13","full bloom",2,7
"N131","7/20/13","full bloom",2,7
"N131","8/1/13","finishing bloom",2,7
"N131","6/14/14","not blooming",0,7
"N131","6/25/14","beginning to bloom to bloom",2,7
"N131","7/4/14","full bloom",2,7
"N131","7/14/14","finishing bloom",2,7
"L21","6/26/13","beginning to bloom",1,8
"L21","7/13/13","full bloom",3,8
"L21","7/17/13","full bloom",3,8
"L21","7/30/13","finishing bloom",3,8
"L21","6/12/14","not blooming",0,8
"L21","6/22/14","not blooming",0,8
"L21","7/3/14","not blooming",0,8
"L21","7/13/14","full bloom",2,8
"N131","6/30/13","not blooming",0,8
"N131","7/14/13","not blooming",0,8
"N131","7/20/13","not blooming",0,8
"N131","8/1/13","full bloom",2,8
"N131","6/14/14","not blooming",0,8
"N131","6/25/14","not blooming",0,8
"N131","7/4/14","not blooming",0,8
"N131","7/14/14","finishing bloom",1,8
"P37","6/28/13","full bloom",1,8
"P37","7/13/13","full bloom",1,8
"P37","7/19/13","full bloom",1,8
"P37","7/30/13","full bloom",1,8
"P37","6/13/14","not blooming",0,8
"P37","6/24/14","full bloom",1,8
"P37","7/1/14","full bloom",1,8
"P37","7/13/14","not blooming",0,8
"L21","6/12/14","full bloom",1,NA
"L21","6/22/14","full bloom",1,NA
"L21","7/3/14","finishing bloom",1,NA
"N139","6/18/14","not blooming",0,9
"N139","7/6/14","not blooming",0,9
"N139","7/9/14","not blooming",0,9
"N139","7/18/14","full bloom",1,9
"L35","6/12/14","full bloom",2,10
"L35","6/22/14","finishing bloom",1,10
"L35","7/3/14","finishing bloom",1,10
"L35","7/13/14","not blooming",0,10
"L21","6/26/13","finishing bloom",3,11
"L21","7/13/13","not blooming",0,11
"L21","7/17/13","not blooming",0,11
"L21","7/30/13","not blooming",0,11
"L21","6/12/14","not blooming",0,11
"L21","6/22/14","full bloom",2,11
"L21","7/3/14","finishing bloom",1,11
"L21","7/13/14","not blooming",0,11
"L24","6/27/13","full bloom",1,11
"L24","7/13/13","not blooming",0,11
"L24","7/18/13","not blooming",0,11
"L24","7/31/13","not blooming",0,11
"L24","6/13/14","not blooming",0,11
"L24","6/23/14","not blooming",0,11
"L24","7/2/14","not blooming",0,11
"L24","7/13/14","not blooming",0,11
"L33","6/29/13","full bloom",1,11
"L33","7/13/13","not blooming",0,11
"L33","7/19/13","not blooming",0,11
"L33","7/31/13","not blooming",0,11
"L33","6/13/14","not blooming",0,11
"L33","6/23/14","full bloom",1,11
"L33","7/3/14","full bloom",1,11
"L33","7/13/14","not blooming",0,11
"L35","6/12/14","not blooming",0,11
"L35","6/22/14","not blooming",0,11
"L35","7/3/14","finishing bloom",1,11
"L35","7/13/14","not blooming",0,11
"N131","6/30/13","finishing bloom",1,11
"N131","7/14/13","not blooming",0,11
"N131","7/20/13","not blooming",0,11
"N131","8/1/13","not blooming",0,11
"N131","6/14/14","not blooming",0,11
"N131","6/25/14","full bloom",1,11
"N131","7/4/14","beginning to bloom to bloom",1,11
"N131","7/14/14","not blooming",0,11
"N132","6/14/14","full bloom",1,11
"N132","6/25/14","full bloom",1,11
"N132","7/4/14","not blooming",0,11
"N132","7/14/14","not blooming",0,11
"N135","6/18/14","full bloom",1,11
"N135","7/6/14","full bloom",1,11
"N135","7/9/14","not blooming",0,11
"N135","7/19/14","not blooming",0,11
"N137","6/19/14","not blooming",0,11
"N137","7/7/14","full bloom",1,11
"N137","7/10/14","full bloom",1,11
"N137","7/19/14","not blooming",0,11
"P24","6/27/13","full bloom",1,11
"P24","7/13/13","not blooming",0,11
"P24","7/19/13","not blooming",0,11
"P24","7/29/13","not blooming",0,11
"P24","6/12/14","not blooming",0,11
"P24","6/23/14","not blooming",0,11
"P24","7/2/14","finishing bloom",1,11
"P24","7/13/14","not blooming",0,11
"P310","6/29/13","finishing bloom",1,11
"P310","7/13/13","not blooming",0,11
"P310","7/17/13","not blooming",0,11
"P310","7/31/13","not blooming",0,11
"P310","6/12/14","not blooming",0,11
"P310","6/24/14","full bloom",1,11
"P310","7/1/14","full bloom",1,11
"P310","7/13/14","finishing bloom",1,11
"P37","6/28/13","full bloom",1,11
"P37","7/13/13","not blooming",0,11
"P37","7/19/13","not blooming",0,11
"P37","7/30/13","not blooming",0,11
"P37","6/13/14","not blooming",0,11
"P37","6/24/14","not blooming",0,11
"P37","7/1/14","not blooming",0,11
"P37","7/13/14","not blooming",0,11
"N132","6/30/13","full bloom",1,12
"N132","7/14/13","finishing bloom",1,12
"N132","7/20/13","finishing bloom",1,12
"N132","8/1/13","not blooming",0,12
"N132","6/14/14","full bloom",2,12
"N132","6/25/14","full bloom",1,12
"N132","7/4/14","finishing bloom",1,12
"N132","7/14/14","finishing bloom",1,12
"N133","7/8/13","full bloom",2,12
"N133","7/11/13","full bloom",2,12
"N133","7/23/13","finishing bloom",1,12
"N133","7/25/13","not blooming",0,12
"N133","6/18/14","full bloom",1,12
"N133","7/7/14","not blooming",0,12
"N133","7/10/14","finishing bloom",1,12
"N133","7/18/14","not blooming",0,12
"N137","7/9/13","finishing bloom",1,12
"N137","7/12/13","finishing bloom",1,12
"N137","7/24/13","finishing bloom",1,12
"N137","7/26/13","finishing bloom",1,12
"N137","6/19/14","not blooming",0,12
"N137","7/7/14","full bloom",1,12
"N137","7/10/14","full bloom",1,12
"N137","7/19/14","full bloom",1,12
"P37","6/28/13","full bloom",1,12
"P37","7/13/13","not blooming",0,12
"P37","7/19/13","not blooming",0,12
"P37","7/30/13","not blooming",0,12
"P37","6/13/14","not blooming",0,12
"P37","6/24/14","not blooming",0,12
"P37","7/1/14","not blooming",0,12
"P37","7/13/14","not blooming",0,12
"L21","6/26/13","full bloom",2,13
"L21","7/13/13","full bloom",2,13
"L21","7/17/13","full bloom",2,13
"L21","7/30/13","finishing bloom",1,13
"L21","6/12/14","full bloom",1,13
"L21","6/22/14","full bloom",3,13
"L21","7/3/14","full bloom",2,13
"L21","7/13/14","finishing bloom",2,13
"N131","6/30/13","full bloom",2,13
"N131","7/14/13","full bloom",2,13
"N131","7/20/13","full bloom",2,13
"N131","8/1/13","finishing bloom",2,13
"N131","6/14/14","beginning to bloom to bloom",1,13
"N131","6/25/14","full bloom",2,13
"N131","7/4/14","full bloom",2,13
"N131","7/14/14","full bloom",2,13
"N135","7/8/13","full bloom",2,13
"N135","7/11/13","full bloom",2,13
"N135","7/22/13","finishing bloom",1,13
"N135","7/25/13","finishing bloom",1,13
"N135","6/18/14","not blooming",0,13
"N135","7/6/14","full bloom",2,13
"N135","7/9/14","finishing bloom",1,13
"N135","7/19/14","not blooming",0,13
"P310","6/29/13","full bloom",2,13
"P310","7/13/13","full bloom",2,13
"P310","7/17/13","full bloom",2,13
"P310","7/31/13","finishing bloom",1,13
"P310","6/12/14","not blooming",0,13
"P310","6/24/14","not blooming",0,13
"P310","7/1/14","not blooming",0,13
"P310","7/13/14","not blooming",0,13
"L21","6/26/13","full bloom",2,14
"L21","7/13/13","not blooming",0,14
"L21","7/17/13","not blooming",0,14
"L21","7/30/13","not blooming",0,14
"L21","6/12/14","full bloom",5,14
"L21","6/22/14","finishing bloom",4,14
"L21","7/3/14","finishing bloom",4,14
"L21","7/13/14","not blooming",0,14
"L24","6/13/14","full bloom",3,14
"L24","6/23/14","not blooming",0,14
"L24","7/2/14","not blooming",0,14
"L24","7/13/14","not blooming",0,14
"N131","6/30/13","finishing bloom",3,14
"N131","7/14/13","not blooming",0,14
"N131","7/20/13","not blooming",0,14
"N131","8/1/13","not blooming",0,14
"N131","6/14/14","full bloom",5,14
"N131","6/25/14","full bloom",4,14
"N131","7/4/14","finishing bloom",5,14
"N131","7/14/14","finishing bloom",2,14
"N133","7/8/13","not blooming",0,14
"N133","7/11/13","not blooming",0,14
"N133","7/23/13","not blooming",0,14
"N133","7/25/13","not blooming",0,14
"N133","6/18/14","finishing bloom",5,14
"N133","7/7/14","finishing bloom",3,14
"N133","7/10/14","finishing bloom",1,14
"N133","7/18/14","not blooming",4,14
"N134","6/17/14","full bloom",4,14
"N134","7/6/14","not blooming",0,14
"N134","7/9/14","not blooming",0,14
"N134","7/17/14","not blooming",0,14
"N135","6/18/14","full bloom",2,14
"N135","7/6/14","not blooming",0,14
"N135","7/9/14","not blooming",0,14
"N135","7/19/14","not blooming",0,14
"N137","7/9/13","not blooming",0,14
"N137","7/12/13","not blooming",0,14
"N137","7/24/13","not blooming",0,14
"N137","7/26/13","not blooming",0,14
"N137","6/19/14","finishing bloom",2,14
"N137","7/7/14","finishing bloom",2,14
"N137","7/10/14","not blooming",0,14
"N137","7/19/14","not blooming",0,14
"P310","6/29/13","finishing bloom",2,14
"P310","7/13/13","not blooming",0,14
"P310","7/17/13","not blooming",0,14
"P310","7/31/13","not blooming",0,14
"P310","6/12/14","full bloom",4,14
"P310","6/24/14","finishing bloom",3,14
"P310","7/1/14","finishing bloom",5,14
"P310","7/13/14","finishing bloom",3,14
"P33","6/27/13","finishing bloom",3,14
"P33","7/13/13","finishing bloom",2,14
"P33","7/18/13","not blooming",0,14
"P33","7/29/13","not blooming",0,14
"P33","6/12/14","full bloom",5,14
"P33","6/22/14","finishing bloom",3,14
"P33","7/2/14","finishing bloom",2,14
"P33","7/13/14","finishing bloom",1,14
"P37","6/28/13","not blooming",0,14
"P37","7/13/13","not blooming",0,14
"P37","7/19/13","not blooming",0,14
"P37","7/30/13","not blooming",0,14
"P37","6/13/14","not blooming",0,14
"P37","6/24/14","finishing bloom",3,14
"P37","7/1/14","finishing bloom",2,14
"P37","7/13/14","not blooming",0,14
"W04","6/30/13","not blooming",0,14
"W04","7/14/13","not blooming",0,14
"W04","7/20/13","not blooming",0,14
"W04","8/1/13","not blooming",0,14
"W04","6/14/14","full bloom",4,14
"W04","6/25/14","finishing bloom",2,14
"W04","7/4/14","finishing bloom",2,14
"W04","7/14/14","finishing bloom",5,14
"L21","6/26/13","full bloom",1,15
"L21","7/13/13","full bloom",1,15
"L21","7/17/13","full bloom",1,15
"L21","7/30/13","finishing bloom",1,15
"L21","6/12/14","not blooming",0,15
"L21","6/22/14","beginning to bloom to bloom",2,15
"L21","7/3/14","not blooming",0,15
"L21","7/13/14","finishing bloom",1,15
"L33","6/29/13","full bloom",2,15
"L33","7/13/13","finishing bloom",1,15
"L33","7/19/13","finishing bloom",1,15
"L33","7/31/13","not blooming",0,15
"L33","6/13/14","not blooming",0,15
"L33","6/23/14","not blooming",0,15
"L33","7/3/14","full bloom",2,15
"L33","7/13/14","finishing bloom",2,15
